            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2454205.500000000, A.D. 2007-Apr-15 00:00:00.0000, -1.965801649982749E+00, -5.063656980394400E+00, -2.103341520022100E+00,  2.971635338347175E-03, -1.124536953223533E-02, -4.423285616324858E-03,
2454235.500000000, A.D. 2007-May-15 00:00:00.0000, -1.875267681488982E+00, -5.397401932980307E+00, -2.234553059637341E+00,  3.059822412237761E-03, -1.101055916097255E-02, -4.326678479539662E-03,
2454265.500000000, A.D. 2007-Jun-14 00:00:00.0000, -1.782402167000924E+00, -5.724571907179008E+00, -2.363057575876075E+00,  3.128653127698844E-03, -1.080456046972211E-02, -4.241858733435251E-03,
2454295.500000000, A.D. 2007-Jul-14 00:00:00.0000, -1.687680174653452E+00, -6.045874001094290E+00, -2.489147246253921E+00,  3.184238576975694E-03, -1.061852754754340E-02, -4.165351996491111E-03,
2454325.500000000, A.D. 2007-Aug-13 00:00:00.0000, -1.591449098759233E+00, -6.361845108028190E+00, -2.613046330701102E+00,  3.229669524139996E-03, -1.044869158548093E-02, -4.095625913434230E-03,
2454355.500000000, A.D. 2007-Sep-12 00:00:00.0000, -1.493980601485877E+00, -6.672933597755785E+00, -2.734942633253371E+00,  3.267023985405583E-03, -1.029268481776411E-02, -4.031692892936087E-03,
2454385.500000000, A.D. 2007-Oct-12 00:00:00.0000, -1.395511988308270E+00, -6.979524439713043E+00, -2.854986971634362E+00,  3.296661153926097E-03, -1.014860006484308E-02, -3.972103958433691E-03,
2454415.500000000, A.D. 2007-Nov-11 00:00:00.0000, -1.296218377118884E+00, -7.281957787750375E+00, -2.973323066288296E+00,  3.322101145982925E-03, -1.001529459827102E-02, -3.917667150152153E-03,
2454445.500000000, A.D. 2007-Dec-11 00:00:00.0000, -1.196230291143512E+00, -7.580536684425810E+00, -3.090086388239509E+00,  3.343098457458264E-03, -9.891456491158404E-03, -3.867175287166652E-03,
2454475.500000000, A.D. 2008-Jan-10 00:00:00.0000, -1.095669357305298E+00, -7.875529822940157E+00, -3.205388791224369E+00,  3.360399763451002E-03, -9.776088018981912E-03, -3.820206401181688E-03,
2454505.500000000, A.D. 2008-Feb-09 00:00:00.0000, -9.946372555486523E-01, -8.167178017112066E+00, -3.319330336241986E+00,  3.374601743836655E-03, -9.668327865890249E-03, -3.776395515341900E-03,
2454535.500000000, A.D. 2008-Mar-10 00:00:00.0000, -8.932192756625129E-01, -8.455698103608569E+00, -3.432000966774741E+00,  3.386198285562929E-03, -9.567431877929296E-03, -3.735430312138366E-03,
2454565.500000000, A.D. 2008-Apr-09 00:00:00.0000, -7.914873710560799E-01, -8.741286057117561E+00, -3.543481860007283E+00,  3.395591173239927E-03, -9.472751248013344E-03, -3.697036870325496E-03,
2454595.500000000, A.D. 2008-May-09 00:00:00.0000, -6.895024837381933E-01, -9.024119618639354E+00, -3.653846487752422E+00,  3.403114362698348E-03, -9.383716883001811E-03, -3.660975265640079E-03,
2454625.500000000, A.D. 2008-Jun-08 00:00:00.0000, -5.873164251875060E-01, -9.304360503986024E+00, -3.763161565985224E+00,  3.409044646932570E-03, -9.299827737764626E-03, -3.627033365061841E-03,
2454655.500000000, A.D. 2008-Jul-08 00:00:00.0000, -4.849733760113654E-01, -9.582156277932333E+00, -3.871487872856641E+00,  3.413615968422449E-03, -9.220639907662680E-03, -3.595028704813057E-03,
2454685.500000000, A.D. 2008-Aug-07 00:00:00.0000, -3.825111011904910E-01, -9.857641963198912E+00, -3.978880991630028E+00,  3.417022872942911E-03, -9.145759979277116E-03, -3.564794985598919E-03,
2454715.500000000, A.D. 2008-Sep-06 00:00:00.0000, -2.799619893878687E-01, -1.013094143580452E+01, -4.085391811995223E+00,  3.419430387729178E-03, -9.074837201794328E-03, -3.536185791801133E-03,
2454745.500000000, A.D. 2008-Oct-06 00:00:00.0000, -1.773538551467942E-01, -1.040216862071573E+01, -4.191067076841875E+00,  3.420979521998902E-03, -9.007557891664094E-03, -3.509071106239676E-03,
2454775.500000000, A.D. 2008-Nov-05 00:00:00.0000, -7.471062504265918E-02, -1.067142834087210E+01, -4.295949877851045E+00,  3.421788932889344E-03, -8.943631881342317E-03, -3.483334960471656E-03,
2454805.500000000, A.D. 2008-Dec-05 00:00:00.0000,  2.794708749302730E-02, -1.093881772690215E+01, -4.400079840891279E+00,  3.421959378466950E-03, -8.882825520609932E-03, -3.458866929840417E-03,
2454835.500000000, A.D. 2009-Jan-04 00:00:00.0000,  1.306013684712846E-01, -1.120442667706380E+01, -4.503493681129165E+00,  3.421575485629655E-03, -8.824900503662423E-03, -3.435578001191459E-03,
2454865.500000000, A.D. 2009-Feb-03 00:00:00.0000,  2.332368725652080E-01, -1.146833851297609E+01, -4.606225439562048E+00,  3.420717803235382E-03, -8.769651781058044E-03, -3.413381254759858E-03,
2454895.500000000, A.D. 2009-Mar-05 00:00:00.0000,  3.358403269448709E-01, -1.173063067171658E+01, -4.708306703609832E+00,  3.419448857899101E-03, -8.716892406452509E-03, -3.392199466183543E-03,
2454925.500000000, A.D. 2009-Apr-04 00:00:00.0000,  4.384002539047451E-01, -1.199137525040828E+01, -4.809766854664579E+00,  3.417824651595092E-03, -8.666452841663994E-03, -3.371962602074667E-03,
2454955.500000000, A.D. 2009-May-04 00:00:00.0000,  5.409067410552828E-01, -1.225063949233136E+01, -4.910633270291075E+00,  3.415893735411237E-03, -8.618178738489897E-03, -3.352606981577890E-03,
2454985.500000000, A.D. 2009-Jun-03 00:00:00.0000,  6.433512346343976E-01, -1.250848621712650E+01, -5.010931504004734E+00,  3.413698298559329E-03, -8.571929278187828E-03, -3.334074573236352E-03,
2455015.500000000, A.D. 2009-Jul-03 00:00:00.0000,  7.457263626822409E-01, -1.276497420447000E+01, -5.110685445364378E+00,  3.411275077256367E-03, -8.527575722183317E-03, -3.316312382528293E-03,
2455045.500000000, A.D. 2009-Aug-02 00:00:00.0000,  8.480257035696294E-01, -1.302015856672036E+01, -5.209917388352824E+00,  3.408654100632402E-03, -8.485002062982080E-03, -3.299266734767175E-03,
2455075.500000000, A.D. 2009-Sep-01 00:00:00.0000,  9.502438999306604E-01, -1.327409096100117E+01, -5.308648379834692E+00,  3.405869108161368E-03, -8.444094419576444E-03, -3.282907552604323E-03,
2455105.500000000, A.D. 2009-Oct-01 00:00:00.0000,  1.052376351978429E+00, -1.352681995214002E+01, -5.406898162248315E+00,  3.402939039532260E-03, -8.404758823544996E-03, -3.267180784183246E-03,
2455135.500000000, A.D. 2009-Oct-31 00:00:00.0000,  1.154419026209133E+00, -1.377839127338383E+01, -5.504685214193556E+00,  3.399887274254301E-03, -8.366901760454926E-03, -3.252052844309542E-03,
2455165.500000000, A.D. 2009-Nov-30 00:00:00.0000,  1.256368560152736E+00, -1.402884798133587E+01, -5.602026999184962E+00,  3.396732124675479E-03, -8.330437803939710E-03, -3.237490593833899E-03,
2455195.500000000, A.D. 2009-Dec-30 00:00:00.0000,  1.358222106536765E+00, -1.427823070910556E+01, -5.698939951023324E+00,  3.393491204148173E-03, -8.295290479606315E-03, -3.223459024542462E-03,
2455225.500000000, A.D. 2010-Jan-29 00:00:00.0000,  1.459977324833729E+00, -1.452657784203272E+01, -5.795439556914731E+00,  3.390178991843274E-03, -8.261386536755781E-03, -3.209929560256215E-03,
2455255.500000000, A.D. 2010-Feb-28 00:00:00.0000,  1.561632255863490E+00, -1.477392566349308E+01, -5.891540481601013E+00,  3.386807604877008E-03, -8.228658960085180E-03, -3.196875775429243E-03,
2455285.500000000, A.D. 2010-Mar-30 00:00:00.0000,  1.663185307315001E+00, -1.502030851924302E+01, -5.987256600594794E+00,  3.383388792323539E-03, -8.197045489799454E-03, -3.184271766181197E-03,
2455315.500000000, A.D. 2010-Apr-29 00:00:00.0000,  1.764635209515196E+00, -1.526575895380591E+01, -6.082601048629797E+00,  3.379932551804784E-03, -8.166488245224765E-03, -3.172093917593052E-03,
2455345.500000000, A.D. 2010-May-29 00:00:00.0000,  1.865980974700559E+00, -1.551030783620226E+01, -6.177586277088916E+00,  3.376447704571958E-03, -8.136933347051256E-03, -3.160320263001216E-03,
2455375.500000000, A.D. 2010-Jun-28 00:00:00.0000,  1.967221868709500E+00, -1.575398441541258E+01, -6.272224166152876E+00,  3.372941627281829E-03, -8.108322191136998E-03, -3.148937020764663E-03,
2455405.500000000, A.D. 2010-Jul-28 00:00:00.0000,  2.068356863876958E+00, -1.599682282254183E+01, -6.366528681563330E+00,  3.369402862763805E-03, -8.080860388862240E-03, -3.138010114831341E-03,
2455435.500000000, A.D. 2010-Aug-27 00:00:00.0000,  2.169386051382586E+00, -1.623884399191348E+01, -6.460507962480983E+00,  3.365875457806107E-03, -8.054024320032592E-03, -3.127331664243598E-03,
2455465.500000000, A.D. 2010-Sep-26 00:00:00.0000,  2.270309366296017E+00, -1.648007248603575E+01, -6.554171882876979E+00,  3.362345526923727E-03, -8.028008766922529E-03, -3.116983395064080E-03,
2455495.500000000, A.D. 2010-Oct-26 00:00:00.0000,  2.371126805127299E+00, -1.672053233856345E+01, -6.647530111738042E+00,  3.358817790295850E-03, -8.002775357040946E-03, -3.106949713908704E-03,
2455525.500000000, A.D. 2010-Nov-25 00:00:00.0000,  2.471838497346243E+00, -1.696024646838391E+01, -6.740591865176442E+00,  3.355296385672827E-03, -7.978288114823016E-03, -3.097216009807311E-03,
2455555.500000000, A.D. 2010-Dec-25 00:00:00.0000,  2.572444687744838E+00, -1.719923674884010E+01, -6.833365934777025E+00,  3.351784925277421E-03, -7.954513278230222E-03, -3.087768578308252E-03,
2455585.500000000, A.D. 2011-Jan-24 00:00:00.0000,  2.672945725217500E+00, -1.743752407120388E+01, -6.925860713647919E+00,  3.348286671904638E-03, -7.931419119539609E-03, -3.078594551867074E-03,
2455615.500000000, A.D. 2011-Feb-23 00:00:00.0000,  2.773342048313411E+00, -1.767512840386737E+01, -7.018084220754860E+00,  3.344804429414262E-03, -7.908975805007955E-03, -3.069681836195739E-03,
2455645.500000000, A.D. 2011-Mar-25 00:00:00.0000,  2.873634176574908E+00, -1.791206884642084E+01, -7.110044122802798E+00,  3.341340735869517E-03, -7.887155236123045E-03, -3.061019040906081E-03,
2455675.500000000, A.D. 2011-Apr-24 00:00:00.0000,  2.973822699731325E+00, -1.814836368030622E+01, -7.201747755005557E+00,  3.337897759606248E-03, -7.865930944566578E-03, -3.052595445744901E-03,
2455705.500000000, A.D. 2011-May-24 00:00:00.0000,  3.073908268307547E+00, -1.838403041577208E+01, -7.293202140303200E+00,  3.334477390731924E-03, -7.845277967306630E-03, -3.044400945160798E-03,
